{ Units, Wavelength Units } SI Microns
{ Thickness } 4
{ Conductivity } 1
{ IR Transmittance } TIR=0
{ Emissivity, front back } Emis= 0.84 0.148
{ }
{ Ef_Source: Text File }
{ Eb_Source: Text File }
{ IGDB_Checksum: 1057719781 }
{ Product Name: SageGlass(R) untinted state }
{ Manufacturer: SAGE Electrochromics, Inc. }
{ NFRC ID: 8901 }
{ Type: Coated }
{ Material: N/A }
{ Coating Name: SageGlass(R) EC }
{ Coated Side: Back }
{ Substrate Filename: Unknown }
{ Appearance: untinted clear }
{ Acceptance: # }
{ Uses:  }
{ Availability:   }
{ Structure:  }
0.950    0.5280    0.1240    0.1000
0.955    0.5220    0.1270    0.1040
0.960    0.5130    0.1300    0.1120
0.965    0.5060    0.1350    0.1190
0.970    0.4970    0.1410    0.1260
0.975    0.4880    0.1460    0.1350
0.980    0.4790    0.1520    0.1450
0.985    0.4700    0.1580    0.1530
0.990    0.4590    0.1640    0.1630
0.995    0.4500    0.1720    0.1730
1.000    0.4420    0.1780    0.1840
1.005    0.4320    0.1830    0.1930
1.010    0.4230    0.1880    0.2010
1.015    0.4140    0.1940    0.2100
1.020    0.4060    0.2010    0.2200
1.025    0.3990    0.2030    0.2270
1.030    0.3920    0.2080    0.2330
1.035    0.3850    0.2110    0.2400
1.040    0.3790    0.2160    0.2470
1.045    0.3730    0.2180    0.2520
1.050    0.3690    0.2210    0.2550
1.055    0.3640    0.2230    0.2600
1.060    0.3610    0.2240    0.2640
1.065    0.3560    0.2260    0.2640
1.070    0.3540    0.2270    0.2670
1.075    0.3510    0.2280    0.2680
1.080    0.3480    0.2280    0.2680
1.085    0.3470    0.2290    0.2680
1.090    0.3460    0.2290    0.2670
1.095    0.3450    0.2280    0.2660
1.100    0.3440    0.2270    0.2650
1.105    0.3440    0.2270    0.2630
1.110    0.3440    0.2230    0.2590
1.115    0.3450    0.2220    0.2560
1.120    0.3460    0.2200    0.2510
1.125    0.3470    0.2190    0.2470
1.130    0.3490    0.2150    0.2420
1.135    0.3510    0.2130    0.2370
1.140    0.3530    0.2100    0.2320
1.145    0.3560    0.2060    0.2260
1.150    0.3570    0.2040    0.2210
1.155    0.3580    0.2020    0.2140
1.160    0.3620    0.1990    0.2070
1.165    0.3640    0.1950    0.2000
1.170    0.3670    0.1910    0.1930
1.175    0.3700    0.1870    0.1860
1.180    0.3720    0.1830    0.1800
1.185    0.3740    0.1790    0.1720
1.190    0.3750    0.1720    0.1630
1.195    0.3800    0.1710    0.1600
1.200    0.3820    0.1660    0.1520
1.205    0.3840    0.1620    0.1470
1.210    0.3850    0.1560    0.1410
1.215    0.3860    0.1520    0.1330
1.220    0.3860    0.1480    0.1280
1.225    0.3870    0.1440    0.1230
1.230    0.3870    0.1400    0.1180
1.235    0.3860    0.1360    0.1130
1.240    0.3860    0.1330    0.1090
1.245    0.3840    0.1290    0.1050
1.250    0.3810    0.1260    0.1010
1.255    0.3770    0.1230    0.0980
1.260    0.3750    0.1200    0.0950
1.265    0.3700    0.1180    0.0930
1.270    0.3650    0.1160    0.0920
1.275    0.3610    0.1160    0.0900
1.280    0.3570    0.1130    0.0900
1.285    0.3500    0.1130    0.0890
1.290    0.3440    0.1130    0.0910
1.295    0.3370    0.1130    0.0910
1.300    0.3310    0.1150    0.0910
1.305    0.3240    0.1170    0.0910
1.310    0.3160    0.1180    0.0940
1.315    0.3090    0.1210    0.0950
1.320    0.3000    0.1230    0.0950
1.325    0.2940    0.1270    0.0970
1.330    0.2860    0.1310    0.0990
1.335    0.2790    0.1340    0.1010
1.340    0.2710    0.1390    0.1020
1.345    0.2630    0.1430    0.1060
1.350    0.2570    0.1470    0.1070
1.355    0.2480    0.1520    0.1100
1.360    0.2410    0.1560    0.1100
1.365    0.2350    0.1640    0.1140
1.370    0.2280    0.1700    0.1160
1.375    0.2220    0.1730    0.1180
1.380    0.2140    0.1780    0.1200
1.385    0.2080    0.1860    0.1240
1.390    0.2030    0.1910    0.1250
1.395    0.1960    0.1960    0.1260
1.400    0.1930    0.2020    0.1300
1.405    0.1870    0.2090    0.1310
1.410    0.1810    0.2140    0.1330
1.415    0.1770    0.2200    0.1350
1.420    0.1720    0.2260    0.1380
1.425    0.1680    0.2320    0.1410
1.430    0.1640    0.2370    0.1430
1.435    0.1600    0.2430    0.1450
1.440    0.1560    0.2490    0.1470
1.445    0.1530    0.2540    0.1480
1.450    0.1490    0.2600    0.1510
1.455    0.1450    0.2670    0.1540
1.460    0.1420    0.2710    0.1570
1.465    0.1400    0.2760    0.1590
1.470    0.1360    0.2820    0.1610
1.475    0.1340    0.2860    0.1640
1.480    0.1310    0.2920    0.1670
1.485    0.1300    0.2960    0.1680
1.490    0.1260    0.3000    0.1730
1.495    0.1250    0.3040    0.1740
1.500    0.1240    0.3090    0.1780
1.505    0.1200    0.3140    0.1800
1.510    0.1180    0.3170    0.1840
1.515    0.1170    0.3200    0.1870
1.520    0.1150    0.3240    0.1890
1.525    0.1130    0.3280    0.1920
1.530    0.1120    0.3320    0.1960
1.535    0.1120    0.3360    0.1990
1.540    0.1080    0.3390    0.2030
1.545    0.1080    0.3420    0.2050
1.550    0.1060    0.3450    0.2100
1.555    0.1070    0.3480    0.2140
1.560    0.1060    0.3500    0.2160
1.565    0.1040    0.3520    0.2210
1.570    0.1030    0.3560    0.2250
1.575    0.1040    0.3570    0.2290
1.580    0.1040    0.3590    0.2320
1.585    0.1010    0.3620    0.2360
1.590    0.1010    0.3630    0.2410
1.595    0.1010    0.3650    0.2450
1.600    0.1010    0.3670    0.2480
1.605    0.0990    0.3680    0.2520
1.610    0.0990    0.3690    0.2580
1.615    0.1010    0.3700    0.2620
1.620    0.1000    0.3700    0.2650
1.625    0.1000    0.3710    0.2700
1.630    0.0990    0.3720    0.2740
1.635    0.1010    0.3720    0.2770
1.640    0.1010    0.3720    0.2830
1.645    0.1010    0.3710    0.2880
1.650    0.1000    0.3710    0.2900
1.655    0.1010    0.3710    0.2950
1.660    0.1020    0.3700    0.2990
1.665    0.1020    0.3680    0.3030
1.670    0.1020    0.3620    0.2980
1.675    0.1030    0.3670    0.3110
1.680    0.1040    0.3670    0.3130
1.685    0.1050    0.3650    0.3170
1.690    0.1070    0.3630    0.3210
1.695    0.1050    0.3600    0.3240
1.700    0.1070    0.3580    0.3280
1.705    0.1080    0.3560    0.3310
1.710    0.1090    0.3540    0.3340
1.715    0.1110    0.3510    0.3360
1.720    0.1110    0.3460    0.3380
1.725    0.1140    0.3440    0.3400
1.730    0.1140    0.3390    0.3430
1.735    0.1160    0.3360    0.3460
1.740    0.1160    0.3320    0.3460
1.745    0.1190    0.3280    0.3480
1.750    0.1180    0.3220    0.3480
1.755    0.1210    0.3180    0.3480
1.760    0.1230    0.3140    0.3490
1.765    0.1250    0.3090    0.3490
1.770    0.1280    0.3040    0.3500
1.775    0.1280    0.2970    0.3500
1.780    0.1280    0.2930    0.3490
1.785    0.1300    0.2860    0.3460
1.790    0.1300    0.2780    0.3420
1.795    0.1300    0.2710    0.3390
1.800    0.1280    0.2640    0.3350
1.805    0.1290    0.2570    0.3320
1.810    0.1290    0.2500    0.3280
1.815    0.1290    0.2450    0.3230
1.820    0.1300    0.2370    0.3200
1.825    0.1310    0.2310    0.3140
1.830    0.1310    0.2260    0.3100
1.835    0.1310    0.2210    0.3050
1.840    0.1310    0.2160    0.2980
1.845    0.1330    0.2110    0.2940
1.850    0.1290    0.2050    0.2860
1.855    0.1270    0.2010    0.2790
1.860    0.1280    0.1940    0.2730
1.865    0.1250    0.1900    0.2660
1.870    0.1270    0.1900    0.2610
1.875    0.1230    0.1840    0.2510
1.880    0.1200    0.1800    0.2450
1.885    0.1170    0.1780    0.2320
1.890    0.1150    0.1740    0.2260
1.895    0.1110    0.1700    0.2190
1.900    0.1080    0.1700    0.2170
1.905    0.1060    0.1720    0.2080
1.910    0.1050    0.1730    0.2040
1.915    0.1050    0.1750    0.2010
1.920    0.1030    0.1780    0.1970
1.925    0.1000    0.1810    0.1920
1.930    0.0990    0.1800    0.1900
1.935    0.0940    0.1840    0.1890
1.940    0.0920    0.1860    0.1880
1.945    0.0880    0.1890    0.1830
1.950    0.0830    0.1900    0.1790
1.955    0.0780    0.1940    0.1800
1.960    0.0770    0.1970    0.1770
1.965    0.0720    0.2010    0.1780
1.970    0.0670    0.2040    0.1760
1.975    0.0640    0.2080    0.1760
1.980    0.0640    0.2120    0.1790
1.985    0.0600    0.2160    0.1790
1.990    0.0580    0.2220    0.1820
1.995    0.0560    0.2260    0.1840
2.000    0.0510    0.2300    0.1850
2.005    0.0500    0.2350    0.1890
2.010    0.0470    0.2380    0.1940
2.015    0.0460    0.2450    0.1940
2.020    0.0430    0.2500    0.1950
2.025    0.0420    0.2550    0.2010
2.030    0.0450    0.2590    0.2080
2.035    0.0370    0.2670    0.2110
2.040    0.0360    0.2670    0.2110
2.045    0.0370    0.2730    0.2180
2.050    0.0370    0.2790    0.2250
2.055    0.0300    0.2840    0.2240
2.060    0.0310    0.2860    0.2300
2.065    0.0300    0.2890    0.2330
2.070    0.0290    0.2950    0.2360
2.075    0.0290    0.3020    0.2450
2.080    0.0280    0.3060    0.2490
2.085    0.0290    0.3120    0.2520
2.090    0.0270    0.3130    0.2580
2.095    0.0250    0.3170    0.2640
2.100    0.0270    0.3220    0.2650
2.105    0.0220    0.3240    0.2750
2.110    0.0240    0.3260    0.2760
2.115    0.0220    0.3290    0.2790
2.120    0.0250    0.3350    0.2850
2.125    0.0230    0.3410    0.2910
2.130    0.0170    0.3390    0.2920
2.135    0.0220    0.3400    0.3010
2.140    0.0240    0.3500    0.3150
2.145    0.0170    0.3590    0.3070
2.150    0.0180    0.3550    0.3170
2.155    0.0190    0.3580    0.3180
2.160    0.0220    0.3600    0.3280
2.165    0.0140    0.3670    0.3390
2.170    0.0200    0.3660    0.3410
2.175    0.0160    0.3670    0.3470
2.180    0.0160    0.3720    0.3450
2.185    0.0140    0.3680    0.3530
2.190    0.0170    0.3730    0.3610
2.195    0.0130    0.3750    0.3570
2.200    0.0110    0.3720    0.3670
2.205    0.0160    0.3760    0.3770
2.210    0.0140    0.3800    0.3780
2.215    0.0050    0.3800    0.3850
2.220    0.0130    0.3820    0.3860
2.225    0.0100    0.3830    0.3940
2.230    0.0090    0.3850    0.3870
2.235    0.0050    0.3950    0.4000
2.240    0.0100    0.3910    0.4000
2.245    0.0140    0.3950    0.4050
2.250    0.0070    0.4000    0.4100
2.255    0.0060    0.4020    0.4150
2.260    0.0050    0.4070    0.4240
2.265    0.0040    0.3990    0.4120
2.270    0.0070    0.4120    0.4310
2.275    0.0070    0.4080    0.4250
2.280    0.0060    0.4150    0.4340
2.285    0.0050    0.4170    0.4290
2.290    0.0070    0.4190    0.4350
2.295    0.0120    0.4230    0.4430
2.300    0.0050    0.4150    0.4400
2.305    0.0120    0.4260    0.4540
2.310    0.0090    0.4220    0.4520
2.315    0.0060    0.4250    0.4530
2.320    0.0010    0.4200    0.4630
2.325    0.0160    0.4310    0.4670
2.330    0.0120    0.4290    0.4670
2.335    0.0050    0.4250    0.4570
2.340    0.0120    0.4270    0.4580
2.345    0.0000    0.4390    0.4740
2.350    0.0000    0.4300    0.4760
2.355    0.0000    0.4420    0.4770
2.360    0.0080    0.4340    0.4690
2.365    0.0080    0.4400    0.4900
2.370    0.0120    0.4490    0.4880
2.375    0.0040    0.4390    0.4990
2.380    0.0090    0.4380    0.4740
2.385    0.0030    0.4450    0.4850
2.390    0.0010    0.4540    0.4940
2.395    0.0020    0.4310    0.4930
2.400    0.0170    0.4510    0.4920
2.405    0.0060    0.4330    0.5100
2.410    0.0000    0.4600    0.5050
2.415    0.0000    0.4470    0.4960
2.420    0.0010    0.4510    0.5070
2.425    0.0010    0.4280    0.5180
2.430    0.0000    0.4250    0.5080
2.435    0.0140    0.4270    0.5350
2.440    0.0000    0.4470    0.5380
2.445    0.0120    0.4760    0.5200
2.450    0.0000    0.4390    0.5270
2.455    0.0070    0.4290    0.5340
2.460    0.0140    0.4580    0.5280
2.465    0.0040    0.4370    0.5470
2.470    0.0000    0.4500    0.5280
2.475    0.0310    0.4440    0.5300
2.480    0.0000    0.4460    0.5440
2.485    0.0000    0.4640    0.5550
2.490    0.0260    0.4540    0.5490
2.495    0.0010    0.4570    0.5450
2.500    0.0000    0.4290    0.5250

