Date/Time,Fan_power,Pump_power,Pump_Mass_FR,Air_Out_Temp,Air_Out_Flowrate,Air_Out_HR,ZMAT,ZMA_HR,Evaporater_ClgRt,chiller_power,DeltaT,SensibleHeat,OA_DB,OA_WB,OA_HR
 07/30  01:00:00,0.0,0.0,0.0,24.30906699655468,0.0,0.0111026026093592,24.39708781749965,0.0110854623042647,0.0,0.0,0.0880208209449691,0.0,17.8,16.72012602,0.011719705
 07/30  02:00:00,0.0,0.0,0.0,24.20931343228385,0.0,0.0110568151747369,24.107560160111696,0.0110873250369862,0.0,0.0,-0.10175327217215369,-0.0,17.8,16.38767835,0.011321937
 07/30  03:00:00,0.0,0.0,0.0,23.751885818228324,0.0,0.0109419000069028,23.818464820890803,0.0109726173087134,0.0,0.0,0.06657900266247907,0.0,15.6,15.2991781,0.010970095
 07/30  04:00:00,0.0,0.0,0.0,22.447598497426743,0.0,0.0108313818722902,22.67063340895431,0.0108462895933418,0.0,0.0,0.2230349115275665,0.0,16.1,15.38311244,0.010846542
 07/30  05:00:00,0.0,0.0,0.0,22.70213253306159,0.0,0.0107635635867951,22.629389693574296,0.010694016758579,0.0,0.0,-0.07274283948729376,-0.0,15.6,14.89322913,0.010499313
 07/30  06:00:00,0.0,0.0,0.0,22.885963858140823,0.0,0.0107509063583315,22.980199350920067,0.0108531265218672,0.0,0.0,0.09423549277924437,0.0,16.7,15.97099792,0.011276789
 07/30  07:00:00,0.0,0.0,0.0,24.238355058686825,0.0,0.0118402151044476,24.00990040210481,0.0115766668680649,0.0,0.0,-0.22845465658201292,-0.0,20.0,18.14692506,0.012553899
 07/30  08:00:00,0.0,0.0,0.0,25.867083793290742,0.0,0.0124922081022357,25.560569993372965,0.0121989660718176,0.0,0.0,-0.30651379991777716,-0.0,22.8,19.49464225,0.013141723
 07/30  09:00:00,0.0,0.0,0.0,25.91981136903989,0.0,0.0120613122775344,25.827178275368546,0.0120738536983865,0.0,0.0,-0.09263309367134553,-0.0,23.9,19.07621526,0.012126797
 07/30  10:00:00,0.0,0.0,0.0,27.84614994507546,0.0,0.0120695713611279,27.53013636184774,0.0120732063204467,0.0,0.0,-0.31601358322771844,-0.0,25.6,19.63878834,0.012165167
 07/30  11:00:00,0.0,0.0,0.0,29.000192120484755,0.0,0.011795976340615,28.756707523880785,0.0118696055804844,0.0,0.0,-0.24348459660397026,-0.0,27.8,19.96526833,0.011689321
 07/30  12:00:00,0.0,0.0,0.0,29.04054048983518,0.0,0.0118611530252371,29.22365045829246,0.0118271608028381,0.0,0.0,0.18310996845728056,0.0,29.4,20.51473566,0.011793034
 07/30  13:00:00,0.0,0.0,0.0,28.831085152303,0.0,0.0116058285198896,28.647814570496887,0.0115083623326739,0.0,0.0,-0.1832705818061129,-0.0,28.9,19.9217253,0.011203519
 07/30  14:00:00,0.0,0.0,0.0,28.98363497918397,0.0,0.0109784429636685,29.18122444223146,0.0107712882637072,0.0,0.0,0.19758946304748903,0.0,28.3,18.875258,0.010064379
 07/30  15:00:00,0.0,0.0,0.0,29.37881390527895,0.0,0.0105641335637459,29.34450775681025,0.0098793178854066,0.0,0.0,-0.03430614846870128,-0.0,28.9,18.34572684,0.009136593
 07/30  16:00:00,0.0,0.0,0.0,29.34450775681025,0.0,0.0098793178854066,29.49458830632358,0.010077643823543,0.0,0.0,0.15008054951332994,0.0,28.9,19.72974351,0.010944413
 07/30  17:00:00,0.0,0.0,0.0,29.17264732918871,0.0,0.0100998057228354,29.087634157834835,0.010111650238631,0.0,0.0,-0.0850131713538751,-0.0,28.9,19.14217276,0.010178805
 07/30  18:00:00,0.0,0.0,0.0,29.002620986480963,0.0,0.0101234947544265,29.071100898121035,0.0100129747618687,0.0,0.0,0.06847991164007183,0.0,28.3,18.87215956,0.01007471
 07/30  19:00:00,0.0,0.0,0.0,28.11471736132852,0.0,0.0096573298838887,28.21489200182154,0.0096738924932944,0.0,0.0,0.1001746404930195,0.0,26.7,17.81225452,0.009388129
 07/30  20:00:00,0.0,0.0,0.0,27.991127424122613,0.0,0.0094974022142546,28.135361183558672,0.0101695338737129,0.0,0.0,0.14423375943605876,0.0,25.6,18.98755918,0.011345833
 07/30  21:00:00,0.0,0.0,0.0,26.773518324690222,0.0,0.0108881604718182,27.02378385562763,0.0107280505011496,0.0,0.0,0.25026553093740844,0.0,24.4,18.90972472,0.011743515
 07/30  22:00:00,0.0,0.0,0.0,26.74320357643502,0.0,0.0110587491115232,27.03172696555804,0.0113449571529308,0.0,0.0,0.2885233891230179,0.0,23.9,19.07148958,0.012164264
 07/30  23:00:00,0.0,0.0,0.0,26.787063932840915,0.0,0.0116985478658934,26.811417774375435,0.0116729289283197,0.0,0.0,0.024353841534519916,0.0,22.2,18.80591436,0.012525713
 07/30  24:00:00,0.0,0.0,0.0,26.49967660990009,0.0,0.0117843061803403,26.375746439358984,0.0119085474246466,0.0,0.0,-0.12393017054110445,-0.0,21.7,18.74185321,0.012651106
 07/31  01:00:00,0.0,0.0,0.0,23.946282107847672,0.0,0.0121652319900181,24.413903673845308,0.0120795360109185,0.0,0.0,0.4676215659976357,0.0,19.4,17.92553125,0.012564972
 07/31  02:00:00,0.0,0.0,0.0,24.95109433167533,0.0,0.0122468403514564,24.94818029434169,0.0122372386043047,0.0,0.0,-0.0029140373336389302,-0.0,21.1,18.56727353,0.012689341
 07/31  03:00:00,0.0,0.0,0.0,24.999171113747217,0.0,0.0123262221424342,24.820505825050272,0.0121845984929686,0.0,0.0,-0.1786652886969442,-0.0,21.1,18.18509516,0.012198017
 07/31  04:00:00,0.0,0.0,0.0,23.871937380554197,0.0,0.0121699926770342,23.97190127936033,0.0121733143650358,0.0,0.0,0.09996389880613421,0.0,20.6,18.09907988,0.012297238
 07/31  05:00:00,0.0,0.0,0.0,24.03662329967864,0.0,0.0123239140317457,23.999212025063027,0.0123184644753824,0.0,0.0,-0.03741127461561433,-0.0,18.9,17.78707502,0.012612952
